State,Registered Vehicles
Alabama,"5,468,301"
Alaska,"794,614"
Arizona,"5,786,891"
Arkansas,"2,808,138"
California ,"30,221,033"
Colorado ,"5,116,341"
Connecticut (2),"2,841,842"
Delaware ,"1,003,840"
Dist. of Col. ,"337,100"
Florida ,"16,600,317"
Georgia ,"8,239,779"
Hawaii,"1,231,728"
Idaho,"1,842,245"
Illinois ,"10,277,182"
Indiana,"6,140,530"
Iowa ,"3,676,290"
Kansas,"2,649,736"
Kentucky,"4,224,788"
Louisiana,"3,904,962"
Maine ,"1,107,674"
Maryland,"4,178,873"
Massachusetts,"5,069,559"
Michigan,"8,332,895"
Minnesota ,"5,358,317"
Mississippi ,"2,067,222"
Missouri,"5,684,525"
Montana ,"1,794,732"
Nebraska,"1,951,766"
Nevada ,"2,398,659"
New Hampshire,"1,322,682"
New Jersey ,"5,940,997"
New Mexico,"1,823,961"
New York ,"11,122,392"
North Carolina,"8,270,643"
North Dakota,"894,954"
Ohio,"10,686,057"
Oklahoma  ,"3,737,405"
Oregon ,"3,811,706"
Pennsylvania,"10,748,822"
Rhode Island ,"876,228"
South Carolina,"4,324,423"
South Dakota ,"1,246,359"
Tennessee ,"5,709,923"
Texas ,"21,766,166"
Utah,"2,317,282"
Vermont,"615,950"
Virginia,"7,301,081"
Washington ,"7,047,689"
West Virginia,"1,704,825"
Wisconsin ,"5,564,429"
Wyoming ,"855,230"
Total,"268,799,083"
